"wf_unit","survey_id","wf_item_id","survey_response_score"
55,11074,7,4
52,12318,3,1
47,12302,3,5
32,11399,4,4
48,12287,9,4
55,11481,8,4
23,10724,4,2
7,10323,5,4
24,11444,4,4
43,10462,9,4
4,10182,10,2
20,12147,3,5
16,11919,5,3
7,11956,1,1
4,12726,3,5
30,12244,5,4
1,10681,8,4
51,11099,8,4
18,11825,4,3
52,13350,4,4
16,12219,1,4
16,12215,3,4
23,11033,5,5
23,11655,2,4
24,10319,6,5
38,11023,5,4
13,11879,3,5
20,10073,5,4
16,10248,5,4
34,16538,4,4
51,11099,10,4
8,16150,4,4
6,16321,3,4
12,11809,3,5
18,10363,5,4
23,11034,4,4
20,13763,3,4
35,10407,3,4
47,11515,6,4
43,10462,2,3
27,10024,10,4
16,10119,7,5
12,11745,10,5
49,12304,5,5
7,11796,10,4
22,11432,8,4
53,13875,3,3
8,11764,9,4
12,10003,6,4
17,12168,3,4
16,10248,6,4
43,11854,9,3
22,14361,3,4
13,10059,10,3
13,11984,3,4
53,11163,8,4
20,11330,5,5
41,10015,6,5
24,10518,5,5
4,11637,3,3
34,11290,5,4
18,11825,10,3
53,14442,4,2
35,12254,8,5
35,10405,1,1
23,11412,6,3
10,11768,9,4
51,11537,8,4
24,11442,2,4
43,10427,9,1
40,11609,9,2
7,10820,9,5
42,10450,4,4
13,10647,7,5
24,11443,4,4
22,10500,9,4
22,11008,4,4
21,12152,3,4
12,10499,10,5
41,11616,3,5
30,12551,3,5
5,11648,8,4
41,10420,8,4
35,10407,4,4
16,12011,5,2
40,11202,6,4
35,12095,10,4
42,10422,6,5
43,11486,2,4
7,10819,10,4
52,17020,3,4
46,10435,4,4
20,10690,10,4
23,11016,3,4
23,10285,7,4
7,10160,8,4
9,10586,5,4
7,10158,2,4
23,11719,8,5
30,11393,8,5
18,10579,4,4
49,10484,4,4
35,12251,10,4
16,10088,3,4
20,10575,3,4
9,11805,8,4
19,11708,4,4
36,11401,2,4
23,11016,6,2
36,11598,7,4
23,10722,6,4
29,11555,7,4
49,10485,8,5
18,10363,4,4
2,10684,4,4
22,11013,2,4
40,10737,7,4
9,11903,8,2
15,11688,7,4
35,12254,9,3
6,10790,2,5
17,11450,4,4
7,10808,4,4
21,10324,3,4
35,11569,10,4
7,11885,1,2
20,10704,9,3
30,11394,9,2
24,11595,9,4
7,10204,8,3
15,11899,2,4
15,12207,6,4
29,10928,3,3
15,12208,7,5
49,10485,4,5
20,11673,2,4
23,13357,3,5
17,11700,2,4
16,11695,5,4
7,10175,5,5
16,11909,7,3
14,11887,10,4
40,12239,7,4
53,13874,4,4
28,10906,4,4
7,12213,9,4
8,10208,3,4
7,10818,5,5
48,11194,9,4
16,10134,5,3
51,10741,10,5
7,12212,4,4
37,10730,10,4
51,10837,9,4
24,11251,6,4
13,11879,7,4
8,11799,2,4
9,11806,1,3
4,15629,4,4
5,10053,9,4
9,10960,5,5
8,11896,4,3
43,12124,9,4
48,11194,2,3
34,10155,3,4
28,16465,4,3
35,10778,4,4
54,11169,9,2
9,10961,5,4
16,10089,8,4
13,11931,3,4
49,15441,3,4
12,11923,4,4
24,10290,10,3
6,10281,4,4
45,11135,6,3
20,10704,7,4
41,11834,3,5
46,11185,8,4
23,10388,3,4
43,11856,6,4
12,11811,5,4
22,11009,9,4
20,10689,8,4
36,11575,10,4
55,11063,6,4
35,11568,4,3
7,10209,6,4
30,10104,9,3
35,12095,1,4
43,11854,4,5
35,10874,9,4
28,16463,4,4
20,10151,9,4
4,10964,4,3
4,11636,10,4
16,10119,3,5
25,14367,3,5
41,10421,4,4
6,10164,10,4
13,10944,10,4
4,11639,3,5
43,10428,6,4
43,11120,4,5
26,10019,4,4
54,12328,9,5
55,10661,6,4
24,10318,4,4
33,12246,4,4
17,11449,4,4
43,11488,1,1
40,11202,9,5
22,13356,3,4
47,10482,6,5
49,10484,10,4
43,11120,3,4
4,10306,10,4
23,10283,3,4
23,11033,8,5
23,11437,10,4
24,11358,10,4
37,12237,9,4
52,10848,7,4
35,12251,3,4
7,12044,4,3
40,12110,10,4
53,13867,3,3
15,12205,4,4
35,10636,4,2
41,11616,5,5
12,11775,4,5
30,11286,4,4
30,11558,4,4
34,11564,9,4
40,16853,3,5
46,11420,5,5
41,10420,6,4
16,12568,4,4
13,10059,9,3
23,12173,7,5
18,10364,4,3
52,11201,5,5
30,11740,6,5
18,10579,3,4
35,12252,10,4
39,10792,9,4
2,10665,7,4
25,11311,4,5
24,12274,9,5
54,12328,2,4
12,10986,2,4
35,11294,7,3
4,11946,6,4
7,11796,8,4
4,11946,5,4
55,11109,10,3
9,10947,3,4
26,10530,5,4
25,13555,3,4
18,10569,2,4
29,10931,3,5
43,10912,1,4
20,10371,6,4
40,10654,2,2
23,11434,2,5
7,10820,1,5
35,11572,8,4
20,11331,3,4
43,11126,5,4
16,11909,4,3
15,11900,8,4
54,11058,10,3
6,12209,10,5
12,11810,7,4
22,11407,8,4
16,12159,1,2
22,11340,3,4
11,10092,10,5
4,10181,6,4
23,11344,7,4
16,12219,9,4
17,11700,5,3
33,11400,6,4
7,10176,8,4
51,11152,3,4
12,10985,9,4
10,10949,10,4
16,10119,8,5
2,10665,6,4
52,10850,5,3
4,10297,8,4
22,10381,4,4
52,11067,7,4
35,11590,1,5
24,11352,8,4
12,11975,7,4
29,11387,10,3
55,12330,1,4
22,11031,7,4
40,12110,2,4
12,11975,9,3
10,12230,4,4
17,10137,10,4
36,11592,3,5
52,11094,8,5
24,11445,6,3
34,10404,4,4
23,13359,3,4
21,11428,2,5
6,10279,5,5
24,10111,6,4
15,10533,3,3
35,11018,5,4
53,11043,4,4
7,11758,1,4
15,12206,8,5
40,12241,8,4
53,13876,4,3
24,11443,10,4
2,10665,8,4
24,11037,4,4
24,10292,3,4
55,11075,2,4
4,10964,10,3
4,11964,6,3
29,10928,7,3
39,10787,4,3
25,10115,4,5
12,11923,7,4
24,11354,6,3
37,10011,7,5
20,11334,4,5
49,12310,5,4
55,11482,3,4
30,10844,10,2
46,11187,10,5
24,11358,5,5
24,10520,8,5
15,12342,8,4
18,11926,5,5
16,11908,7,4
24,10318,5,4
35,10874,7,4
25,10322,6,3
12,10986,5,4
41,11205,7,4
30,11740,3,5
51,11537,6,4
6,10789,2,4
43,13166,4,4
55,10661,3,4
51,11446,9,4
33,10403,6,5
46,10468,4,5
23,10732,1,5
12,11997,3,5
7,10830,7,5
16,10135,3,4
40,10415,3,5
35,12680,4,4
23,11032,7,4
22,10077,4,4
33,10403,10,5
22,12163,6,5
27,10024,9,3
43,11327,3,4
49,11538,7,4
39,10792,7,3
25,12074,4,3
20,10578,2,3
7,10818,6,5
6,11952,3,4
32,10385,6,4
53,11044,5,4
4,10181,10,3
7,11758,4,3
13,10515,6,3
40,10446,5,4
4,11638,9,4
24,12072,4,5
7,11956,6,2
23,11652,6,5
10,16289,4,4
41,11584,8,4
40,10014,6,2
40,10416,1,2
7,12043,7,4
35,12254,4,4
52,10545,6,4
10,10063,7,4
13,10096,4,4
10,11915,4,4
53,11107,7,5
24,10319,7,2
7,10818,7,4
41,12257,5,4
52,11154,5,4
4,11750,4,4
45,11135,10,5
6,10164,8,4
16,12216,6,4
37,10730,9,4
20,10578,3,4
52,11225,9,4
35,11569,8,4
4,10181,2,4
11,10092,4,5
16,12225,2,3
31,10774,4,5
12,11745,5,5
36,12101,9,4
13,12192,3,5
46,10435,8,4
46,11137,4,4
16,10248,9,4
35,13126,4,3
23,11414,3,4
16,10349,7,4
28,10369,5,4
24,11353,3,3
17,11700,7,4
25,11254,2,5
41,10448,2,4
12,11774,2,3
20,10152,8,5
9,10960,6,5
13,10651,7,3
4,11638,7,4
25,10321,10,4
18,11825,2,4
17,11921,1,4
2,11960,8,4
24,10292,2,4
25,12285,9,3
15,12208,3,5
13,10552,5,4
51,17012,4,4
35,10408,9,3
25,11597,8,5
7,10157,3,4
20,11710,4,4
16,10565,2,5
46,12293,10,4
16,12159,9,3
36,12101,5,4
18,11664,9,5
20,10073,9,4
31,12245,6,4
49,14009,3,4
7,12041,6,3
24,12069,2,4
16,10134,10,3
23,10716,8,4
35,12094,9,1
16,10118,2,3
7,10310,4,3
24,10738,5,5
36,10783,7,4
4,12055,7,4
20,11474,6,4
40,11305,1,2
46,11875,2,3
24,11355,4,5
23,11034,5,5
24,10518,6,3
6,10187,7,5
35,11572,9,2
20,11334,6,5
7,10160,10,4
22,11341,7,4
35,10408,1,2
7,10209,5,4
20,11674,7,2
23,11721,10,3
35,10777,9,4
20,10574,10,2
35,10777,2,4
30,11397,10,4
7,11793,1,4
9,11902,8,4
41,12242,2,5
16,11919,8,4
51,11446,7,4
43,10462,10,3
24,11424,3,4
25,12286,6,4
29,11386,8,4
23,10502,9,4
43,10042,6,5
7,10209,3,4
25,10005,2,2
7,12211,9,4
12,10094,5,4
12,10190,10,5
51,11098,10,4
52,11095,2,4
25,10528,2,2
23,15199,4,3
4,11639,5,4
8,12223,6,3
38,11601,4,3
23,10285,10,4
46,12292,3,4
46,10435,3,4
36,10412,4,5
23,11434,4,5
23,11036,4,3
30,11740,5,5
36,11575,8,4
26,10019,6,4
23,10725,3,5
34,11290,2,5
16,11447,5,5
20,11002,7,4
10,10950,8,4
24,12275,8,5
2,10687,7,3
10,11769,6,2
2,17053,4,3
51,11518,3,4
40,13820,4,4
25,11310,5,5
44,11178,8,5
43,11485,6,4
23,10723,3,5
17,11921,3,4
24,11596,6,4
40,10014,2,4
30,11398,8,5
35,10777,3,4
30,12233,5,4
2,13675,3,4
13,12149,4,5
10,12707,3,5
2,10665,10,3
23,10389,8,5
24,10738,2,4
15,12208,5,4
9,11901,1,4
32,10385,9,3
13,10944,4,5
24,10109,3,5
6,16801,4,4
6,10164,4,4
52,11201,8,5
23,10723,7,5
51,11098,2,4
20,10575,7,4
30,10105,4,4
30,10106,8,5
52,11453,4,4
22,11340,8,4
16,12010,4,4
23,11436,4,4
49,11240,3,3
20,11712,7,4
46,10434,5,5
18,10579,9,4
10,10494,9,5
24,11442,10,4
19,11708,9,1
55,17044,3,5
24,11443,8,4
13,12192,4,5
16,11919,2,4
45,11211,9,4
43,11484,6,3
49,11535,6,4
22,10500,4,4
43,16605,4,4
12,10547,5,4
52,11100,2,4
26,10530,2,3
52,11455,4,4
34,10155,4,3
20,11711,5,4
12,11772,4,4
35,10875,1,2
17,11921,10,4
16,10134,9,4
2,11630,7,5
2,10665,5,4
53,14641,3,3
24,10111,3,4
43,11120,10,4
30,12086,9,1
46,11420,6,4
36,10785,8,3
38,10731,2,4
12,11918,9,4
46,11874,2,5
23,10388,10,3
54,11530,5,3
43,11121,1,4
41,12242,4,5
10,11912,3,5
12,10987,9,4
16,12225,1,1
36,11299,4,4
8,12224,9,4
52,10545,3,4
35,10719,3,5
24,10595,5,4
46,12128,3,5
20,10056,9,3
16,11695,7,4
45,11509,3,5
16,10090,9,4
18,11826,4,4
35,11568,5,3
16,10134,8,4
13,10943,2,4
7,10818,4,5
33,12246,6,4
16,12158,5,3
12,12140,4,3
43,10042,8,5
9,10585,8,4
23,10720,3,4
16,10087,7,4
34,16538,3,4
4,10271,10,4
10,11766,7,4
6,10279,9,3
38,12102,6,4
30,12086,10,4
13,10516,4,4
22,15196,4,5
4,12052,5,4
39,10444,6,5
25,11841,6,3
22,10500,6,4
55,14412,3,5
16,11911,2,4
41,10421,3,5
10,11905,10,5
36,11298,5,4
9,11902,2,4
16,11911,9,3
6,12209,8,5
13,10555,9,4
9,10199,8,4
13,12002,9,2
43,10043,2,5
24,11425,4,3
39,11577,4,4
17,12015,4,3
9,10584,9,4
35,10778,8,4
23,11719,10,3
4,11947,4,5
2,12185,4,1
6,11953,3,5
36,11402,6,4
30,12086,4,3
10,10067,4,4
35,12254,7,5
4,11641,2,4
38,11602,5,4
30,12087,3,4
52,10488,9,2
43,11121,7,4
51,10740,5,4
24,11354,8,5
51,11541,5,5
18,15696,4,4
46,12129,9,3
20,10688,6,5
24,11252,7,4
24,11424,9,4
33,10394,4,4
24,11596,5,4
23,11035,3,5
12,11771,8,4
24,11352,4,4
33,10634,3,5
42,10817,10,1
2,13674,3,3
6,10789,5,3
23,11652,8,5
16,12215,4,4
20,10690,3,4
8,10179,10,3
51,11944,7,4
20,11329,9,4
36,10782,6,2
42,11620,5,5
6,10280,4,4
35,12254,5,4
22,10715,4,4
13,10649,4,3
35,12096,2,4
23,11652,5,5
46,11420,9,4
17,11920,7,4
43,10426,5,3
10,10033,3,4
18,10992,3,4
52,11226,2,5
7,10315,3,3
25,11841,2,4
34,11588,2,4
12,12140,9,4
52,10545,5,5
30,12243,4,5
16,12166,5,1
49,11197,8,4
12,10547,4,4
51,12315,5,5
22,11341,4,2
40,12239,3,5
23,11435,7,5
20,12148,5,4
52,11454,2,4
24,11425,10,3
16,12804,3,4
22,11340,10,4
41,11584,6,4
13,12192,6,5
43,11503,3,4
33,11400,5,5
46,12294,5,5
23,10800,6,4
13,10060,10,4
30,10844,5,4
7,11756,9,4
23,11413,6,3
21,12151,7,4
22,11009,4,4
40,10737,3,4
4,11636,4,4
51,11542,6,4
17,11450,5,3
13,10096,7,4
43,11489,9,5
41,12112,6,4
9,10588,3,3
23,11653,6,5
4,11661,2,4
4,10306,7,4
52,10848,4,3
20,10574,6,2
41,12259,1,4
52,11225,4,4
16,10565,5,5
47,10046,5,4
46,11872,2,4
23,11721,1,1
41,10420,7,4
16,12166,2,2
13,12002,8,2
25,12073,8,4
51,11224,10,4
25,14367,4,5
23,11718,7,4
